Assets_Total,Cash,Debt_in_Current_Liabilities_Total,Long_Term_Debt_Total,Earnings_Before_Interest,Gross_Profit_(Loss),Liabilities_Total,Retained_Earnings,Total_debt/total_asset,total_asset/total_libiilities,EBTI/total_asset,gross_profit/rev,EBTI/REV,Dividends_per_Share_Pay_Date_Calendar,Sales/Turnover_(Net),Stockholders_Equity_Total,Interest_and_Related_Expense_Total,Market_Value_Total_Fiscal,Book_Value_Per_Share,Common_Equity_Liquidation_Value,Comprehensive_Income_Parent,Employees,Inventories_Total,Earnings_Per_Share_from_Operations,Revenue_Total,Operating_Activities_Net_Cash_Flow,Financing_Activities_Net_Cash_Flow,Net_Cash_Flow,ID,Year,Rating
43771,994,1708,16196,6585,13139,41750,-13121,0.370016678,1.048407186,0.150442074,0.308065651,0.154396249,0.2,42650,2021,915,37405.5843,2.8976,2021,355,113.3,1004,5.37,42650,3080,-315,2765,1,2014,4
14313.532,7.604,530.97,3031.215,1228.6,1228.6,9794.43,1857.924,0.211772678,1.461395099,0.085834859,0.351869842,0.351869842,2.2975,3491.632,4519.102,200.95,7553.105,39.4994,4367.493,407.507,6.366,255.986,3.54,3491.632,1099.627,-178.881,920.746,2,2014,1
41275,4063,4437,3408,4475,12088,19636,17821,0.082568141,2.102006519,0.10841914,0.59702672,0.221020398,0.88,20247,21639,150,67891.7357,14.2742,21526,-770,77,2643,1.57,20247,3675,-2742,933,3,2014,1
2210.772,466.829,0,0,134.767,308.828,165.461,1759.236,0,13.36128755,0.060959249,0.467754663,0.204119745,0.6838,660.235,2045.311,2.798,2667.9542,32.4818,2045.311,336.862,1.635,149.402,2.61,660.235,133.583,-45.802,87.781,4,2014,3
53402.1,1420.4,729.3,7852,4848.7,15091.5,38850.3,9940.4,0.147035416,1.374560814,0.090796055,0.260183921,0.083593664,0.9,58003.2,14551.8,329.3,31072.734,41.4025,14482.6,1841.6,48.8,0,6.46,58003.2,3372.8,-1235,2137.8,5,2014,1
17779.1,336.6,1294,4824.5,2560.6,3761.3,9970.5,8751.3,0.271357943,1.783170353,0.144023038,0.36031229,0.245291695,3.02,10439,7521.4,158.1,27798.507,34.4939,7365.8,770.4,21.2,861.4,5.84,10439,2187.1,-661.4,1525.7,6,2014,1
6181,107,117,686,1226,1733,4054,1834,0.110985277,1.524666996,0.198349782,0.322839046,0.228390462,0.5,5368,2127,48,7857.3046,16.1772,2127,478,13.952,58,4.33,5368,1030,-462,568,7,2014,2
38578,2444,68,5919,5486,6709,16258,18642,0.153429416,2.372862591,0.142205402,0.624848654,0.510943467,1,10737,22320,399,21100.3397,77.6847,22205,1245,3.045,527,5.73,10737,4464,-3835,629,8,2014,2
10738.114,192.516,0,594.532,320.692,320.692,9492.988,891.267,0.05536652,1.131162707,0.029864835,0.23931703,0.23931703,0.48,1340.03,1245.126,34.57,NA,23.8672,1245.126,168.933,2.579,7.711,3.26,1340.03,237.644,-175.883,61.761,9,2014,1
919.855,22.971,3.828,390.825,114.072,181.062,668.518,85.615,0.424876747,1.3759614550000001,0.12401085,0.404688307,0.254960204,0.72,447.411,251.337,10.677,867.8357,11.6193,251.337,32.335,1.8,0,2,447.411,71.369,366.793,438.162,10,2014,3
